전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
전국,전국,4046536,4210164,3687938,4860418,5297969,9011440,6773250,7397623,8410276,7324380,8258573,8194516,8616474,9795811,9043238,8679097,8660428,9308750,9969020,9316219,9459209,8980841,9031576,8807058,8791714,9073069,8854973,8819909,8156318,9435347,9009441,9289949,9584461,9516605,8567795,8795397,9342074,9070102,8808256,8487275,8226594,8127195,7506691,7411784,7629098,7755286,7378430,7154226
,서울특별시,1742813,1671705,1349333,1831858,2050392,3396662,2756510,2893403,3307439,2589667,2767816,2859860,2997854,3434184,3052558,2784387,2683013,2853398,3388387,3049117,2726492,2437238,2395814,2259333,2240086,2165332,2159555,2074884,1802931,2337989,2219407,2295784,2318051,2242723,1926235,1990749,2173907,2078045,2025358,1873188,1733015,1721748,1555281,1520090,1573594,1589431,1515602,1472937
,부산광역시,448577,389797,362202,482061,680984,805979,724664,785117,895337,809483,904252,852671,932367,919150,872967,821207,831658,918310,892506,790991,761684,741748,771852,708358,668188,676037,679854,641886,602418,660060,595975,604650,600936,625355,539108,552771,559915,529343,514502,519310,519334,508043,461042,478451,485710,507031,459015,439073
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,514009,553068,607848,552902,539361,533854,590786,579187,539730,526547,525249,558826,524585,545677,534013,507085,485263,462722,496811,477595,448898,466894,487515,418278,440350,428417,399853,409938,398626,370817,370563,348642,351873,350213,351424,328228,321182
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,332958,333362,398906,425509,409361,382620,434814,476438,472576,567863,503687,509700,505825,506471,481438,482811,512513,447707,494576,531318,526842,540812,510347,462835,502168,523457,576619,565585,478169,462051,499567,468666,461613,452297,473223,441646,409465
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254634,257011,336312,308307,330810,356080,346330,300357,312343,307188,298679,328978,295529,324045,301498,300467,294120,304505,284734,290429,301479,286105,268757,293879,268574,260561,228612,226696,243066,224603,213176,208138
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,256234,296756,310452,295662,335871,315639,314804,287663,295198,267578,322783,312560,304985,302944,304736,280028,287835,294814,283080,263532,252424,262432,264244,239635,230858,239559,220774,219252,211449
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,185987,164160,179485,166690,170587,176413,191255,184499,169681,174389,180375,181662,159953,161146,164963,161433,159492,176015,170393,148190,135199
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32784,23805,56526,83994,65052,82073
,경기도,452060,533375,418045,542224,579194,1006818,770036,880019,985879,984187,1085764,806192,971778,1253162,1146201,1211995,1297795,1388645,1450813,1447161,1609933,1472190,1564272,1711603,1807997,1952466,1905357,1950705,1707411,2079470,2042327,2256103,2449422,2304535,2079220,2197321,2459641,2306957,2195585,2175681,2168820,2062422,1944962,1895434,1891775,1993080,1958593,1888324
